book_img,book_title,book_price,book_score,book_page,book_genre,color,atmosphere,art_reputation,keyword
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791165793203.jpg,화이트블러드,"15,120",9.64,840,sf,"['Beige', 'Brown']","['mysterious', 'luxurious', 'emotional']",414,"['선내', '피비린내', '방주']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791170522386.jpg,달빛수사,"15,300",9.85,850,sf,"['Beige', 'Orange']","['mysterious', 'calm', 'emotional']",407,"['물건', '달빛', '아동']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791189836573.jpg,요괴사설,"15,300",10.0,850,sf,"['Beige', 'Brown', 'Purple']","['mysterious', 'luxurious', 'emotional']",380,"['요괴', '장르', '풍자']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791166836183.jpg,메타버스의 유령,"12,600",9.06,700,sf,"['White', 'Black', 'Orange']","['mysterious', 'calm', 'emotional']",403,"['메타버스', '메타', '곽재식']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791165507992.jpg,나는 절대 저렇게 추하게 늙지 말아야지,"13,320",9.33,740,sf,"['White', 'Beige', 'Green']","['mysterious', 'calm', 'dreamlike']",387,"['너울', '어워드', '동시대']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791185585819.jpg,나는 슈뢰딩거의 고양이로소이다,"12,240",9.25,680,sf,"['Beige', 'Black', 'Brown']","['mysterious', 'calm', 'emotional']",402,"['과학', '고양이', '소설']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932006512.jpg,비명을 찾아서(상),"11,700",10.0,650,sf,"['Beige', 'Brown', 'Green']","['mysterious', 'dreamlike', 'emotional']",413,"['자유', '환상', '감동']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090193.jpg,깃털,"8,550",9.71,470,sf,"['Beige', 'Brown', 'Purple']","['mysterious', 'luxurious', 'emotional']",413,"['원작', '여성', '우주']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791189836498.jpg,"죽음과 세금은 피할 수 없다, 드래곤 역시","15,750",10.0,870,sf,"['Beige', 'Brown']","['mysterious', 'dreamlike', 'emotional']",420,"['드래곤', '판타지', '세금']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190174954.jpg,짝꿍: 듀나X이산화,"9,000",8.93,500,sf,"['Black', 'Purple', 'White']","['mysterious', 'dreamlike', 'emotional']",385,"['불가사리', '이산화', '듀나']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791165344306.jpg,테스터 아이,"12,600",9.57,700,sf,"['Beige', 'Purple']","['mysterious', 'dreamlike', 'emotional']",363,"['알고리즘', '오류', '결정']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791196866761.jpg,빙글빙글 우주군,"13,320",9.78,740,sf,"['Beige', 'Brown', 'Purple']","['mysterious', 'calm', 'luxurious']",426,"['배명훈', '타워', '우주']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791160949070.jpg,당신의 간을 배달하기 위하여,"13,500",10.0,750,sf,"['Beige', 'Purple']","['mysterious', 'calm', 'emotional']",408,"['아빠', '정명섭', '배달']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932042268.jpg,SF 보다 Vol 2: 벽,"12,600",9.79,700,sf,"['Beige', 'red', 'Purple']","['mysterious', 'luxurious', 'emotional']",383,"['크리티크', '하이퍼', '링크']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791165508845.jpg,얼마나 닮았는가,"13,320",9.73,740,sf,"['Beige', 'Purple', 'Blue']","['mysterious', 'dreamlike', 'emotional']",409,"['밀도', '단편', '이유']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791189836542.jpg,러브 앤 티스,"16,200",10.0,900,sf,"['Beige', 'Brown', 'Green']","['mysterious', 'emotional', 'colorful']",391,"['홍락훈', '마녀', '러브']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791170611462.jpg,지옥의 설계자,"13,950",9.85,770,sf,"['Beige', 'Purple', 'Orange']","['mysterious', 'dreamlike', 'emotional']",407,"['지옥', '서버', '호러']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788932041513.jpg,SF보다 Vol 1 얼음,"12,600",9.66,700,sf,"['Beige', 'Purple', 'White']","['mysterious', 'luxurious', 'emotional']",429,"['문학과지성', '동시대', '문학']"
